Camera1_START->CollisionAlert_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionAlert_START->CollisionAlert_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,CollisionAlert_START
0.474793,0.007731,0.077982,0.008815,0.096270,0.032919,0.000000,0.050672,0.000000,0.010371,0.152384,0.031842,0.000000,0.003769,0.000000,0.002038,0,1,2,2,2,2,2
0.446163,0.007723,0.059451,0.009641,0.091519,0.024909,0.000000,0.058389,0.000000,0.010478,0.141765,0.032876,0.000000,0.007404,0.000000,0.002008,0,1,1,2,1,2,2
0.463656,0.002695,0.066432,0.013651,0.082982,0.020861,0.011294,0.063291,0.000000,0.009569,0.144235,0.033929,0.009632,0.003903,0.000000,0.001182,0,1,1,2,2,2,2
0.470299,0.006171,0.093050,0.008025,0.087945,0.028017,0.000000,0.048789,0.012455,0.009632,0.141207,0.028777,0.000000,0.004674,0.000000,0.001557,1,2,2,2,2,2,2
0.469453,0.005561,0.066005,0.008147,0.083315,0.024974,0.000000,0.050167,0.001352,0.009738,0.169943,0.034357,0.009693,0.005406,0.000000,0.000795,0,1,1,2,2,2,2
0.477738,0.006311,0.067500,0.008079,0.085025,0.027903,0.000000,0.051639,0.008470,0.009693,0.167510,0.027662,0.010081,0.004364,0.000000,0.003501,0,1,1,2,2,2,2
0.438226,0.006372,0.065744,0.009870,0.099391,0.026136,0.000000,0.040641,0.013730,0.010081,0.127816,0.032965,0.000000,0.004741,0.000000,0.000739,0,1,1,2,2,2,2
0.463556,0.003844,0.079373,0.011151,0.070350,0.019765,0.015453,0.040523,0.000000,0.009040,0.170650,0.034488,0.000000,0.005498,0.000000,0.003421,0,1,2,2,2,2,2
0.472238,0.003058,0.078835,0.010491,0.080662,0.018570,0.006662,0.037907,0.025289,0.009852,0.155552,0.027285,0.011114,0.004629,0.000000,0.002332,0,1,2,2,2,2,2
0.470445,0.006991,0.068235,0.012658,0.094797,0.024298,0.000000,0.042148,0.007857,0.011114,0.163106,0.029625,0.000000,0.008274,0.000000,0.001342,0,1,2,2,2,2,2
0.473968,0.004449,0.079636,0.007638,0.093257,0.022129,0.000000,0.050986,0.012374,0.008488,0.141109,0.038799,0.009303,0.005349,0.000000,0.000451,0,1,2,2,2,2,2
0.451916,0.004883,0.078667,0.011246,0.083883,0.025256,0.005850,0.049163,0.002796,0.009303,0.143335,0.030859,0.000000,0.005103,0.000000,0.001572,0,1,2,2,2,2,2
