SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.011449,0.011449
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020688,0.020688
0.015310,0.015310
0.000000,0.000000
0.067174,0.067174
0.088860,0.088860
0.037937,0.037937
0.000000,0.000000
0.054474,0.054474
0.033237,0.033237
0.000000,0.000000
0.007745,0.007745
0.067140,0.067140
0.001339,0.001339
0.013911,0.013911
0.000000,0.000000
0.000412,0.000412
0.023358,0.023358
0.000192,0.000192
0.011592,0.011592
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020605,0.020605
0.004254,0.004254
0.020980,0.020980
0.003612,0.003612
0.000000,0.000000
0.000000,0.000000
0.072622,0.072622
0.016512,0.016512
0.005301,0.005301
0.049874,0.049874
0.000000,0.000000
0.000000,0.000000
0.004017,0.004017
0.000000,0.000000
0.087368,0.087368
0.000000,0.000000
0.000000,0.000000
0.006704,0.006704
0.000000,0.000000
0.027208,0.027208
0.055264,0.055264
0.000000,0.000000
0.000000,0.000000
0.071866,0.071866
0.058589,0.058589
0.000000,0.000000
0.000557,0.000557
0.007975,0.007975
0.106713,0.106713
0.000168,0.000168
0.000000,0.000000
0.079223,0.079223
0.021094,0.021094
0.000000,0.000000
0.000000,0.000000
0.015972,0.015972
0.012412,0.012412
0.023212,0.023212
0.000000,0.000000
0.075763,0.075763
0.025129,0.025129
0.000000,0.000000
0.080834,0.080834
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.059657,0.059657
0.065199,0.065199
0.005815,0.005815
0.000000,0.000000
0.009361,0.009361
0.000000,0.000000
0.000000,0.000000
0.054271,0.054271
0.018664,0.018664
0.020299,0.020299
0.031449,0.031449
0.003397,0.003397
0.029781,0.029781
0.000000,0.000000
0.105059,0.105059
0.036068,0.036068
0.070015,0.070015
0.031641,0.031641
0.018610,0.018610
0.038002,0.038002
0.022728,0.022728
0.043249,0.043249
0.066232,0.066232
0.055011,0.055011
0.000000,0.000000
0.012118,0.012118
0.035222,0.035222
0.056824,0.056824
0.068281,0.068281
0.025171,0.025171
0.019825,0.019825
0.000000,0.000000
0.000000,0.000000
0.007481,0.007481
0.080100,0.080100
0.040799,0.040799
0.003552,0.003552
0.000000,0.000000
0.005378,0.005378
0.009576,0.009576
0.000081,0.000081
0.055817,0.055817
0.015860,0.015860
0.020086,0.020086
0.010201,0.010201
0.020413,0.020413
0.041487,0.041487
0.039153,0.039153
0.011800,0.011800
0.018427,0.018427
0.021632,0.021632
0.000000,0.000000
