SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.035446,0.035446
0.021635,0.021635
0.083085,0.083085
0.043673,0.043673
0.035576,0.035576
0.039371,0.039371
0.000000,0.000000
0.048849,0.048849
0.024504,0.024504
0.012079,0.012079
0.008810,0.008810
0.013377,0.013377
0.022243,0.022243
0.066124,0.066124
0.022474,0.022474
0.070118,0.070118
0.052643,0.052643
0.054826,0.054826
0.049821,0.049821
0.000421,0.000421
0.005516,0.005516
0.067931,0.067931
0.029524,0.029524
0.022309,0.022309
0.019689,0.019689
0.003648,0.003648
0.000000,0.000000
0.046694,0.046694
0.028068,0.028068
0.015896,0.015896
0.047896,0.047896
0.001590,0.001590
0.048129,0.048129
0.014448,0.014448
0.139519,0.139519
0.031651,0.031651
0.034415,0.034415
0.148454,0.148454
0.059686,0.059686
0.012417,0.012417
0.012545,0.012545
0.033904,0.033904
0.065714,0.065714
0.000018,0.000018
0.069294,0.069294
0.003540,0.003540
0.024678,0.024678
0.016576,0.016576
0.008446,0.008446
0.038600,0.038600
0.063063,0.063063
0.041705,0.041705
0.000000,0.000000
0.047334,0.047334
0.003176,0.003176
0.061862,0.061862
0.043974,0.043974
0.013625,0.013625
0.046630,0.046630
0.030853,0.030853
0.039286,0.039286
0.050817,0.050817
0.000000,0.000000
0.021992,0.021992
0.046731,0.046731
0.017025,0.017025
0.026449,0.026449
0.009490,0.009490
0.022803,0.022803
0.046409,0.046409
0.004419,0.004419
0.021056,0.021056
0.003508,0.003508
0.055472,0.055472
0.000393,0.000393
0.034617,0.034617
0.012637,0.012637
0.040034,0.040034
0.025379,0.025379
0.008516,0.008516
0.017697,0.017697
0.034086,0.034086
0.032213,0.032213
0.059243,0.059243
0.000901,0.000901
0.035368,0.035368
0.048214,0.048214
0.007984,0.007984
0.029196,0.029196
0.008639,0.008639
0.044810,0.044810
0.062761,0.062761
0.009364,0.009364
0.025748,0.025748
0.035533,0.035533
0.032724,0.032724
0.024261,0.024261
0.019976,0.019976
0.033528,0.033528
0.004726,0.004726
0.020250,0.020250
0.012865,0.012865
0.019525,0.019525
0.040833,0.040833
0.046891,0.046891
0.021183,0.021183
0.035302,0.035302
0.008272,0.008272
0.000000,0.000000
0.000000,0.000000
0.014019,0.014019
0.023291,0.023291
0.010242,0.010242
0.018379,0.018379
0.004280,0.004280
0.041753,0.041753
0.009552,0.009552
0.036543,0.036543
0.041290,0.041290
0.029901,0.029901
0.042567,0.042567
0.050452,0.050452
0.006990,0.006990
0.019286,0.019286
0.026298,0.026298
0.054316,0.054316
0.029929,0.029929
0.000000,0.000000
0.065287,0.065287
0.037542,0.037542
0.024692,0.024692
0.017757,0.017757
0.028692,0.028692
0.003347,0.003347
0.012880,0.012880
0.061478,0.061478
0.041427,0.041427
0.050852,0.050852
0.041741,0.041741
0.062971,0.062971
0.039307,0.039307
0.025472,0.025472
0.068060,0.068060
0.025029,0.025029
0.047417,0.047417
