bin,total,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionAlert_START->CollisionAlert_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.334000,0.002966,0.000851,0.000045,0.000012,0.000000,0.000045,0.000000,0.000282,0.000207,0.000091,0.000041,0.000205,0.000000,0.000432,0.000666,0.000088
0.335000,0.002372,0.000520,0.000038,0.000009,0.000000,0.000037,0.000017,0.000236,0.000280,0.000075,0.000026,0.000145,0.000000,0.000331,0.000591,0.000066
0.336000,0.004152,0.000961,0.000072,0.000025,0.000000,0.000047,0.000016,0.000399,0.000371,0.000108,0.000000,0.000305,0.000000,0.000622,0.001107,0.000119
0.337000,0.004152,0.001087,0.000061,0.000026,0.000000,0.000081,0.000034,0.000344,0.000429,0.000106,0.000028,0.000296,0.000000,0.000654,0.000876,0.000129
0.338000,0.002966,0.000638,0.000035,0.000023,0.000000,0.000053,0.000019,0.000266,0.000258,0.000073,0.000003,0.000211,0.000000,0.000370,0.000926,0.000089
0.339000,0.002966,0.000761,0.000028,0.000026,0.000000,0.000037,0.000000,0.000225,0.000368,0.000100,0.000015,0.000246,0.000000,0.000391,0.000678,0.000090
0.340000,0.002372,0.000637,0.000029,0.000011,0.000000,0.000025,0.000036,0.000214,0.000105,0.000079,0.000022,0.000165,0.000000,0.000340,0.000640,0.000070
0.341000,0.000593,0.000104,0.000013,0.000004,0.000000,0.000006,0.000019,0.000050,0.000099,0.000021,0.000000,0.000045,0.000000,0.000108,0.000107,0.000016
0.342000,0.002372,0.000563,0.000033,0.000012,0.000000,0.000026,0.000032,0.000227,0.000174,0.000069,0.000031,0.000177,0.000000,0.000341,0.000622,0.000065
0.343000,0.003559,0.000884,0.000061,0.000020,0.000000,0.000051,0.000034,0.000298,0.000259,0.000130,0.000017,0.000229,0.000000,0.000560,0.000912,0.000104
0.344000,0.002372,0.000520,0.000049,0.000016,0.000000,0.000039,0.000051,0.000174,0.000308,0.000068,0.000000,0.000174,0.000000,0.000378,0.000528,0.000069
0.345000,0.002372,0.000662,0.000042,0.000012,0.000000,0.000029,0.000000,0.000190,0.000420,0.000062,0.000000,0.000161,0.000000,0.000339,0.000387,0.000071
0.346000,0.001779,0.000405,0.000037,0.000010,0.000000,0.000022,0.000000,0.000163,0.000147,0.000060,0.000000,0.000141,0.000000,0.000289,0.000458,0.000048
0.347000,0.003559,0.000980,0.000043,0.000018,0.000000,0.000038,0.000073,0.000327,0.000375,0.000088,0.000038,0.000288,0.000000,0.000486,0.000713,0.000093
0.348000,0.004152,0.001082,0.000063,0.000028,0.000000,0.000060,0.000015,0.000346,0.000349,0.000134,0.000000,0.000266,0.000000,0.000602,0.001087,0.000120
0.349000,0.005931,0.001499,0.000085,0.000029,0.000000,0.000110,0.000018,0.000522,0.000604,0.000172,0.000027,0.000406,0.000000,0.000748,0.001550,0.000160
0.350000,0.002372,0.000534,0.000029,0.000017,0.000000,0.000027,0.000000,0.000189,0.000308,0.000088,0.000000,0.000198,0.000000,0.000336,0.000580,0.000066
0.351000,0.004745,0.001282,0.000053,0.000033,0.000000,0.000076,0.000000,0.000426,0.000427,0.000153,0.000029,0.000333,0.000000,0.000671,0.001127,0.000135
0.352000,0.003559,0.000791,0.000054,0.000018,0.000000,0.000045,0.000050,0.000309,0.000347,0.000092,0.000000,0.000258,0.000045,0.000536,0.000914,0.000100
0.353000,0.005931,0.001333,0.000079,0.000027,0.000000,0.000102,0.000052,0.000496,0.000639,0.000182,0.000000,0.000425,0.000000,0.000799,0.001622,0.000174
0.354000,0.003559,0.000972,0.000043,0.000019,0.000000,0.000056,0.000051,0.000311,0.000497,0.000097,0.000000,0.000254,0.000000,0.000531,0.000624,0.000103
0.355000,0.002966,0.000783,0.000047,0.000017,0.000000,0.000048,0.000000,0.000279,0.000237,0.000085,0.000032,0.000208,0.000000,0.000403,0.000737,0.000089
0.356000,0.001186,0.000312,0.000015,0.000007,0.000000,0.000009,0.000000,0.000093,0.000139,0.000035,0.000000,0.000093,0.000000,0.000178,0.000271,0.000034
0.358000,0.000593,0.000112,0.000008,0.000003,0.000000,0.000004,0.000000,0.000062,0.000002,0.000012,0.000000,0.000038,0.000004,0.000053,0.000276,0.000019
0.359000,0.003559,0.000891,0.000041,0.000021,0.000000,0.000053,0.000018,0.000331,0.000475,0.000113,0.000013,0.000282,0.000000,0.000562,0.000659,0.000100
0.360000,0.002372,0.000553,0.000036,0.000018,0.000000,0.000034,0.000016,0.000200,0.000315,0.000060,0.000023,0.000174,0.000000,0.000273,0.000602,0.000069
0.361000,0.001186,0.000295,0.000019,0.000008,0.000000,0.000013,0.000000,0.000104,0.000098,0.000025,0.000000,0.000094,0.000000,0.000187,0.000312,0.000032
0.362000,0.001186,0.000326,0.000021,0.000007,0.000000,0.000012,0.000000,0.000081,0.000136,0.000042,0.000000,0.000079,0.000000,0.000160,0.000294,0.000028
