Camera1_START->Braking_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,Braking_START->Braking_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,Braking_START
0.416667,0.003241,0.075107,0.004535,0.017995,0.025666,0.000000,0.061228,0.020400,0.010283,0.154872,0.030078,0.000000,0.002362,0.000000,0.010900,0,1,1,1,1,2,2
0.422949,0.005859,0.074434,0.009962,0.013333,0.031744,0.000000,0.046460,0.026254,0.008298,0.158140,0.028154,0.010612,0.002065,0.000000,0.007634,0,1,1,2,1,2,2
0.435845,0.003134,0.069038,0.015000,0.023491,0.027659,0.000000,0.057098,0.007386,0.010612,0.172008,0.026276,0.010042,0.002892,0.000000,0.011209,0,1,1,2,1,2,2
0.435065,0.006879,0.069403,0.014489,0.022506,0.026721,0.000000,0.049228,0.024966,0.010042,0.160743,0.034665,0.000000,0.005254,0.000000,0.010169,0,1,1,2,1,2,2
0.438466,0.007739,0.093970,0.009787,0.103136,0.023720,0.000000,0.061701,0.000000,0.008638,0.079025,0.029106,0.000000,0.008657,0.000000,0.012987,0,2,2,3,1,2,2
0.513287,0.005246,0.102997,0.012727,0.097693,0.017115,0.000000,0.062407,0.007023,0.011150,0.151697,0.027391,0.000000,0.006052,0.000000,0.011789,0,2,2,3,2,2,2
0.442620,0.006682,0.084488,0.013925,0.014745,0.027740,0.000000,0.067800,0.000000,0.011701,0.154243,0.037719,0.009755,0.005457,0.000000,0.008365,0,1,1,2,1,2,2
0.421674,0.004643,0.096006,0.007383,0.005592,0.016822,0.000000,0.056677,0.034192,0.009755,0.143551,0.026728,0.009816,0.003363,0.000000,0.007146,1,1,1,2,1,2,2
0.447840,0.003989,0.091593,0.012554,0.004864,0.022731,0.000000,0.051152,0.014759,0.009816,0.192464,0.029832,0.000000,0.004775,0.000000,0.009311,1,1,1,2,1,2,2
0.297010,0.006121,0.049060,0.010022,0.022091,0.027250,0.000000,0.044043,0.000000,0.010967,0.079369,0.022370,0.009608,0.005294,0.000000,0.010815,0,0,1,1,1,1,1
0.437304,0.005016,0.105182,0.010006,0.006317,0.016469,0.000000,0.043783,0.019545,0.009608,0.164053,0.031921,0.010490,0.003213,0.000000,0.011701,0,1,1,2,2,2,2
0.410263,0.002721,0.067558,0.008458,0.017084,0.023397,0.000000,0.055734,0.005803,0.010490,0.169182,0.028637,0.008975,0.003549,0.000000,0.008675,0,0,1,1,1,1,1
0.455207,0.003240,0.105192,0.006565,0.019566,0.025959,0.000000,0.046799,0.017971,0.008975,0.166845,0.028293,0.010910,0.003912,0.000000,0.010980,1,1,1,2,1,2,2
0.397340,0.007807,0.063945,0.010555,0.021875,0.031374,0.000000,0.037530,0.024683,0.010910,0.140590,0.023413,0.008592,0.004743,0.000000,0.011323,0,0,1,1,1,2,2
0.456392,0.006284,0.110972,0.008435,0.009754,0.021362,0.000000,0.036966,0.013369,0.008592,0.185710,0.035418,0.000000,0.007918,0.000000,0.011612,1,1,1,2,2,2,2
