Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START,Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START
0.000000,0.000000
0.046062,0.046062
0.000000,0.000000
0.016087,0.016087
0.019032,0.019032
0.014941,0.014941
0.048552,0.048552
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012965,0.012965
0.000000,0.000000
0.049255,0.049255
0.062420,0.062420
0.029038,0.029038
0.006216,0.006216
0.045512,0.045512
0.059785,0.059785
0.000000,0.000000
0.046272,0.046272
0.081940,0.081940
0.000000,0.000000
0.033966,0.033966
0.031889,0.031889
0.042146,0.042146
0.051521,0.051521
0.045841,0.045841
0.064157,0.064157
0.000000,0.000000
0.060578,0.060578
0.025506,0.025506
0.029341,0.029341
0.045127,0.045127
0.000000,0.000000
0.039537,0.039537
0.000000,0.000000
0.041996,0.041996
0.031625,0.031625
0.000000,0.000000
0.046178,0.046178
0.000000,0.000000
0.000000,0.000000
0.027084,0.027084
0.000000,0.000000
0.000000,0.000000
0.026447,0.026447
0.000000,0.000000
0.038595,0.038595
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.025976,0.025976
0.000000,0.000000
0.000000,0.000000
0.015507,0.015507
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.025887,0.025887
0.055904,0.055904
0.065133,0.065133
0.024439,0.024439
0.037432,0.037432
0.000000,0.000000
0.000000,0.000000
