Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.000000,0.000000
0.016236,0.016236
0.000000,0.000000
0.000000,0.000000
0.026539,0.026539
0.000000,0.000000
0.046702,0.046702
0.003770,0.003770
0.000000,0.000000
0.031100,0.031100
0.013078,0.013078
0.000000,0.000000
0.000000,0.000000
0.041107,0.041107
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.062912,0.062912
0.050741,0.050741
0.034650,0.034650
0.023444,0.023444
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.058234,0.058234
0.068351,0.068351
0.027039,0.027039
0.005349,0.005349
0.000000,0.000000
0.017370,0.017370
0.038209,0.038209
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.055674,0.055674
0.051071,0.051071
0.032637,0.032637
0.048120,0.048120
0.043147,0.043147
0.000000,0.000000
0.046124,0.046124
0.000000,0.000000
0.001401,0.001401
0.000000,0.000000
0.041973,0.041973
0.055320,0.055320
0.019996,0.019996
0.028800,0.028800
0.034140,0.034140
0.000000,0.000000
0.049525,0.049525
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.026731,0.026731
0.013648,0.013648
0.060195,0.060195
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.031840,0.031840
0.008716,0.008716
0.038893,0.038893
0.021120,0.021120
0.042096,0.042096
0.012741,0.012741
0.000000,0.000000
0.001150,0.001150
0.052586,0.052586
0.000000,0.000000
0.050427,0.050427
0.046203,0.046203
0.000000,0.000000
0.025263,0.025263
0.000000,0.000000
0.046237,0.046237
0.000000,0.000000
0.040282,0.040282
0.000000,0.000000
0.000000,0.000000
0.024406,0.024406
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.042642,0.042642
0.054859,0.054859
0.000000,0.000000
0.025734,0.025734
0.035503,0.035503
0.017373,0.017373
0.034050,0.034050
0.042694,0.042694
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015877,0.015877
0.000000,0.000000
0.019697,0.019697
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.035444,0.035444
0.000000,0.000000
0.000000,0.000000
0.059067,0.059067
0.000945,0.000945
0.000000,0.000000
0.032911,0.032911
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.034004,0.034004
0.000000,0.000000
0.027410,0.027410
0.000000,0.000000
0.000000,0.000000
0.043827,0.043827
0.000000,0.000000
0.046922,0.046922
0.047751,0.047751
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.027815,0.027815
0.021638,0.021638
0.031705,0.031705
0.020527,0.020527
0.000000,0.000000
0.046058,0.046058
0.003979,0.003979
0.000000,0.000000
0.000000,0.000000
0.020550,0.020550
0.000000,0.000000
0.038524,0.038524
0.020078,0.020078
0.000000,0.000000
0.007340,0.007340
0.004791,0.004791
0.000000,0.000000
0.040529,0.040529
0.028341,0.028341
0.000000,0.000000
0.044160,0.044160
0.018010,0.018010
0.017189,0.017189
0.000000,0.000000
0.006138,0.006138
0.027712,0.027712
0.033105,0.033105
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.054054,0.054054
0.004211,0.004211
0.000000,0.000000
0.000000,0.000000
0.016745,0.016745
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.036068,0.036068
0.027412,0.027412
0.000000,0.000000
0.049805,0.049805
0.024388,0.024388
0.000000,0.000000
0.045770,0.045770
0.004916,0.004916
0.000000,0.000000
0.062877,0.062877
0.040338,0.040338
0.000000,0.000000
0.036909,0.036909
0.000000,0.000000
0.000000,0.000000
0.053478,0.053478
0.000000,0.000000
0.042598,0.042598
0.020366,0.020366
0.039357,0.039357
0.029904,0.029904
0.000000,0.000000
0.016857,0.016857
0.000000,0.000000
0.012206,0.012206
0.056634,0.056634
0.000000,0.000000
0.075157,0.075157
0.000000,0.000000
0.000000,0.000000
0.034858,0.034858
0.039045,0.039045
0.000000,0.000000
0.067058,0.067058
0.005673,0.005673
0.000000,0.000000
0.033336,0.033336
0.043279,0.043279
0.016476,0.016476
0.029399,0.029399
0.036435,0.036435
0.000000,0.000000
0.043169,0.043169
0.002082,0.002082
0.000000,0.000000
0.000000,0.000000
0.004199,0.004199
0.000000,0.000000
0.006534,0.006534
0.020359,0.020359
0.042938,0.042938
0.044371,0.044371
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.052193,0.052193
0.024740,0.024740
0.103178,0.103178
0.019949,0.019949
0.037431,0.037431
0.019067,0.019067
0.000000,0.000000
0.001255,0.001255
0.042296,0.042296
0.053505,0.053505
0.000000,0.000000
0.055406,0.055406
0.000000,0.000000
0.028843,0.028843
0.034784,0.034784
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.045627,0.045627
0.000000,0.000000
0.020578,0.020578
0.025897,0.025897
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015522,0.015522
0.029024,0.029024
0.000000,0.000000
0.000000,0.000000
0.033826,0.033826
0.034245,0.034245
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.044645,0.044645
0.016042,0.016042
0.050644,0.050644
0.000000,0.000000
0.000000,0.000000
0.024945,0.024945
0.044933,0.044933
0.031960,0.031960
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002618,0.002618
0.000000,0.000000
0.000000,0.000000
0.010959,0.010959
0.000000,0.000000
0.005507,0.005507
0.000000,0.000000
0.018294,0.018294
0.000000,0.000000
0.000000,0.000000
0.022335,0.022335
0.000000,0.000000
0.014912,0.014912
0.003443,0.003443
0.004589,0.004589
0.024793,0.024793
0.000000,0.000000
0.000000,0.000000
0.013888,0.013888
0.011903,0.011903
0.013764,0.013764
0.000000,0.000000
0.000000,0.000000
0.033857,0.033857
0.022439,0.022439
0.000000,0.000000
0.074537,0.074537
0.000000,0.000000
0.004857,0.004857
0.000000,0.000000
0.000000,0.000000
0.000568,0.000568
0.013515,0.013515
0.000000,0.000000
0.000000,0.000000
0.034006,0.034006
0.007507,0.007507
0.000000,0.000000
0.000000,0.000000
0.016920,0.016920
0.005016,0.005016
0.009672,0.009672
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003732,0.003732
0.001031,0.001031
0.016565,0.016565
0.012386,0.012386
0.000000,0.000000
0.000000,0.000000
0.026374,0.026374
0.064097,0.064097
0.000943,0.000943
0.007749,0.007749
0.045927,0.045927
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004825,0.004825
0.018100,0.018100
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.049533,0.049533
0.000000,0.000000
0.000000,0.000000
0.004510,0.004510
0.000000,0.000000
0.000000,0.000000
0.025628,0.025628
0.000000,0.000000
0.016866,0.016866
0.000000,0.000000
0.000000,0.000000
0.017388,0.017388
0.002261,0.002261
0.002102,0.002102
0.000000,0.000000
0.000000,0.000000
0.008382,0.008382
0.022144,0.022144
0.013258,0.013258
0.000000,0.000000
0.006678,0.006678
0.000000,0.000000
0.001210,0.001210
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.059287,0.059287
0.004595,0.004595
0.012642,0.012642
0.000000,0.000000
0.017164,0.017164
0.023176,0.023176
0.005292,0.005292
0.093659,0.093659
0.016130,0.016130
0.003754,0.003754
0.000000,0.000000
0.000000,0.000000
0.009751,0.009751
0.015030,0.015030
0.016402,0.016402
0.000000,0.000000
0.006024,0.006024
0.000000,0.000000
0.025233,0.025233
0.013876,0.013876
0.005541,0.005541
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019364,0.019364
0.005606,0.005606
0.000000,0.000000
0.008246,0.008246
0.000000,0.000000
0.000000,0.000000
0.016401,0.016401
0.013026,0.013026
0.009363,0.009363
0.008163,0.008163
0.010188,0.010188
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019370,0.019370
0.006763,0.006763
0.000000,0.000000
0.017404,0.017404
0.000000,0.000000
0.000000,0.000000
0.012532,0.012532
0.013492,0.013492
0.000000,0.000000
0.001724,0.001724
